strategy,recall,precision,f1,pr_auc
smote,0.03602941176470588,0.08571428571428572,0.050724637681159424,0.1494041818090372
class_weight_balanced,0.02426470588235294,0.15,0.04105263157894737,0.17263923008170906
baseline_no_resampling,0.0,0.0,0.0,0.19415200265904925
