model,recall,precision,f1,pr_auc
logistic_regression,0.38676470588235295,0.0870448701294804,0.1416575525923352,0.12726016688455996
svm_rbf,0.11985294117647058,0.1730718954248366,0.13474032081275708,0.14892877949574285
xgboost,0.07205882352941176,0.09972527472527473,0.08266666666666667,0.1526884126574682
random_forest,0.03602941176470588,0.08571428571428572,0.050724637681159424,0.1494041818090372
